"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상"
"인천광역시 연수구 (2818500000)","335,142","335,142","33,558","40,737","48,050","48,552","61,756","56,773","26,203","12,764","5,779","926","44","166,878","166,878","17,144","21,038","25,039","23,879","30,039","28,805","13,425","5,553","1,746","199","11","168,264","168,264","16,414","19,699","23,011","24,673","31,717","27,968","12,778","7,211","4,033","727","33"
"인천광역시 연수구 옥련1동(2818563000)","21,801","21,801","1,852","2,524","3,075","2,911","3,783","3,947","1,974","1,191","471","69","4","10,887","10,887","976","1,334","1,649","1,458","1,810","2,016","968","500","161","15","0","10,914","10,914","876","1,190","1,426","1,453","1,973","1,931","1,006","691","310","54","4"
"인천광역시 연수구 옥련2동(2818564000)","23,028","23,028","2,013","2,736","3,463","2,992","4,064","4,125","1,968","1,116","482","65","4","11,406","11,406","999","1,419","1,830","1,455","1,925","2,103","992","508","159","14","2","11,622","11,622","1,014","1,317","1,633","1,537","2,139","2,022","976","608","323","51","2"
"인천광역시 연수구 선학동(2818575000)","19,204","19,204","1,152","1,499","3,243","2,694","2,776","3,900","2,332","1,078","457","67","6","9,792","9,792","577","795","1,756","1,499","1,443","1,893","1,202","473","140","13","1","9,412","9,412","575","704","1,487","1,195","1,333","2,007","1,130","605","317","54","5"
"인천광역시 연수구 연수1동(2818576100)","23,496","23,496","1,570","2,286","3,915","3,541","4,170","4,306","2,177","1,042","426","61","2","12,633","12,633","832","1,208","2,167","2,032","2,283","2,314","1,155","485","139","18","0","10,863","10,863","738","1,078","1,748","1,509","1,887","1,992","1,022","557","287","43","2"
"인천광역시 연수구 연수2동(2818576200)","23,484","23,484","1,850","2,181","4,057","3,647","3,588","4,339","2,127","1,071","540","82","2","11,552","11,552","958","1,128","2,089","1,920","1,740","2,076","1,065","407","144","24","1","11,932","11,932","892","1,053","1,968","1,727","1,848","2,263","1,062","664","396","58","1"
"인천광역시 연수구 연수3동(2818576300)","18,783","18,783","1,498","1,739","2,808","2,752","2,793","3,468","1,941","1,054","612","115","3","8,941","8,941","782","883","1,345","1,414","1,342","1,638","969","401","148","17","2","9,842","9,842","716","856","1,463","1,338","1,451","1,830","972","653","464","98","1"
"인천광역시 연수구 청학동(2818576600)","28,498","28,498","1,830","2,469","4,504","3,782","4,762","5,729","3,042","1,569","697","109","5","14,674","14,674","952","1,269","2,475","2,126","2,452","2,903","1,571","683","215","26","2","13,824","13,824","878","1,200","2,029","1,656","2,310","2,826","1,471","886","482","83","3"
"인천광역시 연수구 동춘1동(2818578000)","15,417","15,417","1,105","2,125","2,398","1,629","2,768","3,025","1,352","608","341","55","11","7,592","7,592","549","1,062","1,265","794","1,293","1,519","708","275","112","13","2","7,825","7,825","556","1,063","1,133","835","1,475","1,506","644","333","229","42","9"
"인천광역시 연수구 동춘2동(2818579000)","20,511","20,511","2,050","2,495","2,992","3,101","3,620","3,666","1,509","690","332","54","2","10,113","10,113","1,050","1,264","1,564","1,522","1,691","1,812","796","289","108","16","1","10,398","10,398","1,000","1,231","1,428","1,579","1,929","1,854","713","401","224","38","1"
